

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
215.774  000.635  000.635: require('mini.comment')
217.517  001.353  001.353: require('mini.completion')
219.277  000.820  000.820: require('mini.pairs')
220.477  000.274  000.274: require('vim.inspect')
224.402  000.567  000.567: require('mini.move')
226.299  001.572  001.572: require('mini.splitjoin')
228.542  001.558  001.558: require('mini.tabline')
230.873  002.086  002.086: require('mini.clue')
233.554  000.480  000.480: require('mini.hipatterns')
235.019  001.311  001.311: require('mini.indentscope')
236.517  000.787  000.787: require('mini.map')
238.846  001.348  001.348: require('mini.pick')
240.182  000.657  000.657: require('mini.extra')
241.420  000.730  000.730: require('mini.surround')
242.588  000.574  000.574: require('mini.starter')
242.728  031.551  015.217: require('plugin/mini')
243.296  000.316  000.316: require('dap-python')
244.462  000.271  000.271: require('dap.utils')
244.551  001.241  000.970: require('dap')
245.506  000.223  000.223: require('nio.tasks')
245.708  000.187  000.187: require('nio.control')
246.503  000.784  000.784: require('nio.uv')
246.778  000.261  000.261: require('nio.tests')
246.994  000.206  000.206: require('nio.ui')
247.600  000.397  000.397: require('nio.streams')
247.624  000.619  000.223: require('nio.file')
248.247  000.360  000.360: require('nio.logger')
248.286  000.648  000.289: require('nio.lsp')
248.505  000.213  000.213: require('nio.process')
248.667  003.763  000.621: require('nio')
250.092  000.305  000.305: require('dapui.config.highlights')
250.539  001.146  000.842: require('dapui.config')
250.570  001.504  000.357: require('dapui.util')
250.867  000.290  000.290: require('dapui.windows.layout')
250.891  002.214  000.421: require('dapui.windows')
251.164  000.266  000.266: require('dapui.controls')
251.194  006.532  000.288: require('dapui')
252.609  000.350  000.350: require('dapui.logging')
252.971  000.346  000.346: require('dapui.client.types')
252.989  001.059  000.363: require('dapui.client')
253.261  000.266  000.266: require('dap.breakpoints')
253.503  000.203  000.203: require('dapui.client.lib')
253.951  000.234  000.234: require('dapui.render.canvas')
253.962  000.422  000.188: require('dapui.elements.breakpoints')
254.395  000.349  000.349: require('dapui.components.breakpoints')
254.679  000.209  000.209: require('dapui.elements.repl')
255.125  000.428  000.428: require('dapui.elements.scopes')
255.462  000.266  000.266: require('dapui.components.scopes')
255.701  000.227  000.227: require('dapui.components.variables')
255.946  000.193  000.193: require('dapui.elements.stacks')
256.465  000.206  000.206: require('dapui.components.frames')
256.540  000.520  000.314: require('dapui.components.threads')
256.881  000.277  000.277: require('dapui.elements.watches')
257.321  000.323  000.323: require('dapui.components.watches')
257.735  000.276  000.276: require('dapui.elements.hover')
258.111  000.284  000.284: require('dapui.components.hover')
258.467  000.301  000.301: require('dapui.elements.console')
259.522  016.782  003.091: require('plugin/dap')
260.953  000.584  000.584: require('gitsigns.highlight')
262.944  003.409  002.825: require('plugin/gitsigns')
263.303  000.345  000.345: require('leap')
263.715  000.397  000.397: require('leap.user')
265.437  000.489  000.489: require('stabilize')
276.036  001.559  001.559: require('gruvbox')
276.777  000.717  000.717: require('vim.version')
287.282  013.087  010.811: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/gruvbox.nvim/colors/gruvbox.lua
290.671  002.430  002.430: require('config/maps')
292.129  000.285  000.285: require('notify.util.queue')
292.145  000.669  000.383: require('notify.util')
292.608  000.456  000.456: require('notify.config.highlights')
292.631  001.582  000.457: require('notify.config')
293.377  000.416  000.416: require('notify.stages')
293.736  000.345  000.345: require('notify.service.notification')
294.682  000.237  000.237: require('notify.animate.spring')
294.695  000.583  000.346: require('notify.animate')
294.714  000.967  000.384: require('notify.windows')
295.708  000.346  000.346: require('notify.service.buffer.highlights')
295.757  000.758  000.412: require('notify.service.buffer')
295.766  001.047  000.289: require('notify.service')
296.126  000.355  000.355: require('notify.stages.util')
296.142  003.504  000.374: require('notify.instance')
296.158  005.471  000.386: require('notify')
297.162  000.998  000.998: require('neogit')
300.843  002.487  002.487: require('neogit.lib.util')
301.344  004.167  001.679: require('neogit.config')
302.242  000.887  000.887: require('neogit.lib.signs')
305.793  000.211  000.211: require('neogit.lib.mappings_manager')
306.331  000.226  000.226: require('neogit.lib.ui.component')
306.365  000.555  000.329: require('neogit.lib.ui')
306.586  000.188  000.188: require('neogit.lib.uv')
306.598  002.220  001.265: require('neogit.lib.buffer')
307.550  000.377  000.377: require('neogit.logger')
308.536  000.195  000.195: require('neogit.lib.notification')
308.592  000.550  000.355: require('neogit.process')
308.723  001.158  000.608: require('neogit.lib.git.cli')
317.599  000.483  000.483: require('neogit.lib.collection')
317.642  001.119  000.636: require('neogit.lib.git.status')
318.392  000.341  000.341: require('neogit.lib.git.config')
318.979  000.337  000.337: require('neogit.lib.finder')
318.995  000.588  000.251: require('neogit.buffers.fuzzy_finder')
319.046  001.395  000.466: require('neogit.lib.git.branch')
319.601  000.211  000.211: require('neogit.lib.item_filter')
319.627  000.574  000.363: require('neogit.lib.git.diff')
320.150  000.252  000.252: require('neogit.lib.input')
320.525  000.359  000.359: require('neogit.lib.git.rev_parse')
320.546  000.911  000.300: require('neogit.lib.git.stash')
321.323  000.224  000.224: require('neogit.lib.record')
321.365  000.595  000.371: require('neogit.lib.git.log')
321.373  000.820  000.225: require('neogit.lib.git.pull')
321.593  000.211  000.211: require('neogit.lib.git.push')
322.353  000.243  000.243: require('neogit.lib.rpc')
322.370  000.502  000.260: require('neogit.client')
322.393  000.788  000.285: require('neogit.lib.git.rebase')
322.612  000.212  000.212: require('neogit.lib.git.sequencer')
322.842  000.217  000.217: require('neogit.lib.git.merge')
322.874  015.890  008.109: require('neogit.lib.git.repository')
323.105  000.217  000.217: require('neogit.lib.git.init')
323.342  000.224  000.224: require('neogit.lib.git.files')
323.548  000.195  000.195: require('neogit.lib.git.fetch')
323.741  000.181  000.181: require('neogit.lib.git.refs')
323.935  000.183  000.183: require('neogit.lib.git.tag')
324.203  000.202  000.202: require('neogit.lib.git.reflog')
324.460  000.222  000.222: require('neogit.lib.git.cherry_pick')
324.682  000.209  000.209: require('neogit.lib.git.reset')
324.878  000.185  000.185: require('neogit.lib.git.revert')
325.107  000.219  000.219: require('neogit.lib.git.remote')
325.344  000.224  000.224: require('neogit.lib.git.index')
325.705  000.350  000.350: require('neogit.lib.git.worktree')
325.717  018.910  000.410: require('neogit.lib.git')
325.767  019.164  000.253: require('neogit.buffers.git_command_history')
326.341  000.247  000.247: require('neogit.buffers.commit_view.parsing')
326.864  000.297  000.297: require('neogit.buffers.common')
326.879  000.527  000.231: require('neogit.buffers.commit_view.ui')
327.166  000.281  000.281: require('neogit.popups')
327.362  001.588  000.533: require('neogit.buffers.commit_view')
327.628  000.252  000.252: require('neogit.lib.functional')
327.827  000.188  000.188: require('neogit.lib.line_buffer')
328.026  000.189  000.189: require('neogit.lib.fs')
328.287  000.250  000.250: require('neogit.watcher')
328.489  000.190  000.190: require('neogit.operations')
328.660  025.770  001.729: require('neogit.status')
328.680  026.424  000.655: require('neogit.autocmds')
329.272  000.282  000.282: require('neogit.lib.color')
329.286  000.599  000.316: require('neogit.lib.hl')
329.513  000.222  000.222: require('neogit.lib.state')
330.467  000.325  000.325: require('neogit.lib.popup.builder')
330.516  000.773  000.448: require('neogit.lib.popup')
330.524  000.963  000.190: require('neogit.lib')
333.494  244.422  014.433: sourcing /home/kronicmage/.config/nvim/init.lua
333.547  079.369: sourcing vimrc file(s)
349.903  000.057  000.057: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/dhall-vim/ftdetect/dhall.vim
350.439  000.085  000.085: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/haskell-vim/ftdetect/haskell.vim
351.485  000.088  000.088: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/purescript-vim/ftdetect/purescript.vim
362.902  000.091  000.091: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/vimtex/ftdetect/cls.vim
363.063  000.064  000.064: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/vimtex/ftdetect/tex.vim
363.204  000.057  000.057: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/vimtex/ftdetect/tikz.vim
375.887  026.714  026.271: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/filetype.lua
384.835  000.334  000.334: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/syntax/synload.vim
385.186  008.867  008.533: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/syntax/syntax.vim
436.981  000.488  000.488: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/gzip.vim
437.105  000.033  000.033: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/health.vim
449.139  000.567  000.567: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
452.314  015.137  014.571: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/matchit.vim
452.852  000.441  000.441: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/matchparen.vim
454.036  001.094  001.094: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/netrwPlugin.vim
454.492  000.030  000.030: sourcing /nix/store/ggasvy9z30i4llspf82vjm0m61rm4wvw-neovim-0.9.5/rplugin.vim
454.824  000.674  000.644: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/rplugin.vim
455.173  000.197  000.197: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/shada.vim
455.411  000.076  000.076: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/spellfile.vim
455.841  000.326  000.326: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/tarPlugin.vim
456.021  000.035  000.035: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/tohtml.vim
456.182  000.029  000.029: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/tutor.vim
456.774  000.464  000.464: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/zipPlugin.vim
462.608  000.286  000.286: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/editorconfig.lua
462.963  000.233  000.233: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/man.lua
463.358  000.278  000.278: sourcing /nix/store/aszfdv0palw8vgpswijvgn273fip4306-neovim-unwrapped-0.9.5/share/nvim/runtime/plugin/nvim.lua
463.590  074.671: loading rtp plugins
489.478  000.193  000.193: require('dressing.patch')
489.494  000.451  000.258: require('dressing')
489.533  000.668  000.217: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/dressing.nvim/plugin/dressing.lua
491.112  000.276  000.276: require('gitblame.utils')
491.130  000.506  000.230: require('gitblame.git')
491.528  000.177  000.177: require('lua-timeago/languages/en')
491.540  000.403  000.227: require('lua-timeago')
